City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Luanda,-8.8368,13.2343,75.2,88,40,2.3,AO,1643860095
Kudat,6.8837,116.8477,85.93,74,40,3.44,MY,1643860272
Riyadh,24.6877,46.7219,50.14,37,4,6.2,SA,1643860110
Pushkar,26.5,74.55,61.9,39,0,17.43,IN,1643860273
Semey,50.4111,80.2275,-7.38,77,60,0.0,KZ,1643860273
Kavaratti,10.5669,72.642,79.93,70,12,8.08,IN,1643860274
Gachalá,4.6924,-73.5204,62.35,70,100,4.29,CO,1643860275
Innisfail,-17.5333,146.0333,88.21,81,100,8.7,AU,1643860275
Guerrero Negro,27.9769,-114.0611,58.73,28,0,15.86,MX,1643860276
Kasimov,54.9411,41.3953,9.45,97,100,2.68,RU,1643860276
Grand Gaube,-20.0064,57.6608,78.39,91,100,18.01,MU,1643860276
Cabatuan,10.8794,122.486,85.59,63,96,14.05,PH,1643860277
Qaqortoq,60.7167,-46.0333,14.18,59,100,17.98,GL,1643860277
Viedma,-40.8135,-62.9967,71.38,43,38,6.35,AR,1643860231
Taltal,-25.4,-70.4833,67.32,75,0,2.8,CL,1643860278
Tommot,58.9564,126.2925,-5.71,88,100,8.88,RU,1643860279
Paramonga,-10.6667,-77.8333,70.29,83,32,8.16,PE,1643860279
Prainha,-1.8,-53.48,73.11,92,86,3.2,BR,1643860280
Arrondissement de Saint-Denis,48.9167,2.3333,46.15,77,100,1.99,FR,1643860280
Telimele,10.9167,-13.3333,63.55,72,3,0.89,GN,1643860281
Umluj,25.0213,37.2685,68.0,52,1,8.32,SA,1643860281
Aloleng,16.1307,119.7824,83.98,59,6,2.21,PH,1643860283
Palana,59.1167,159.9667,12.51,80,100,11.25,RU,1643860283
Kulachi,31.9286,70.4592,56.14,50,0,5.99,PK,1643860283
Quelimane,-17.8786,36.8883,76.95,94,0,0.0,MZ,1643860284
Christchurch,-43.5333,172.6333,71.47,78,100,14.97,NZ,1643860015
Markova,48.6758,24.4138,25.2,95,98,6.73,UA,1643860285
Portland,45.5234,-122.6762,43.66,95,100,1.99,US,1643860183
Aklavik,68.2191,-135.0107,-24.77,98,100,3.76,CA,1643860286
Vila Velha,-20.3297,-40.2925,73.94,96,100,5.75,BR,1643860286
Vanimo,-2.6741,141.3028,82.36,74,77,5.37,PG,1643860286
Moree,-29.4667,149.85,80.62,65,75,12.66,AU,1643860287
Suchdol nad Lužnicí,48.89,14.8772,32.38,88,74,6.67,CZ,1643860288
Nanortalik,60.1432,-45.2371,18.99,79,100,11.97,GL,1643860288
Santa Cruz de la Sierra,-17.8,-63.1667,76.46,88,20,6.91,BO,1643860006
Snezhnogorsk,69.1933,33.2531,2.98,91,100,4.65,RU,1643860289
Panabá,21.2833,-88.2667,70.92,96,1,8.61,MX,1643860290
Sur,22.5667,59.5289,71.91,46,0,18.43,OM,1643860290
Port Townsend,48.117,-122.7605,38.64,87,100,10.0,US,1643860291
Mayo,38.8876,-76.5119,38.59,90,100,0.0,US,1643860291
Plettenberg Bay,-34.0527,23.3716,69.12,87,100,3.13,ZA,1643860292
Grand-Santi,4.25,-54.3833,71.06,99,100,1.83,GF,1643860292
Riachão,-7.3619,-46.6172,72.0,88,5,1.5,BR,1643860293
Geraldton,-28.7667,114.6,104.41,11,1,21.85,AU,1643860165
Sabang,5.8933,95.3214,82.13,73,15,14.76,ID,1643860294
Qinzhou,21.95,108.6167,54.46,62,88,15.37,CN,1643860294
Balfour,-26.6633,28.5902,61.79,76,1,2.68,ZA,1643860295
Talcahuano,-36.7167,-73.1167,60.48,77,100,4.61,CL,1643860295
Mar del Plata,-38.0023,-57.5575,72.55,86,100,1.99,AR,1643860296
Bathsheba,13.2167,-59.5167,77.61,78,40,18.41,BB,1643860089
Batemans Bay,-35.7167,150.1833,70.95,46,10,10.8,AU,1643860297
Orshanka,56.9161,47.8933,8.1,98,100,2.73,RU,1643860298
Haines Junction,60.7522,-137.5108,-13.05,70,100,1.14,CA,1643860298
Haysville,37.5645,-97.3523,15.37,71,100,24.16,US,1643860299
Chhachhrauli,30.25,77.3667,52.48,87,100,8.72,IN,1643860299
Verāval,20.9,70.3667,75.04,69,25,13.11,IN,1643860299
Young,-32.6833,-57.6333,79.23,40,94,8.21,UY,1643860300
Tiksi,71.6872,128.8694,-2.47,91,100,9.8,RU,1643860300
Isla Mujeres,21.2311,-86.731,78.17,83,0,14.76,MX,1643860161
Vila,42.0304,-8.1588,41.32,79,100,4.29,PT,1643860301
The Valley,18.217,-63.0578,76.86,76,2,15.08,AI,1643860255
Antsohihy,-14.8796,47.9875,75.51,93,100,2.21,MG,1643860302
Charleston,32.7766,-79.9309,57.85,96,100,0.0,US,1643860303
Champerico,14.3,-91.9167,78.46,73,1,3.78,GT,1643860303
St. George's,12.0564,-61.7485,78.48,78,20,18.41,GD,1643860304
Amga,60.8953,131.9608,-16.91,88,100,3.87,RU,1643860304
Acapulco de Juárez,16.8634,-99.8901,74.71,72,0,5.14,MX,1643860167
Pesaro,43.9036,12.8903,41.32,70,0,11.03,IT,1643860305
Ulaanbaatar,47.9077,106.8832,-7.47,77,40,0.0,MN,1643860189
Terrace,54.5163,-128.6035,21.11,86,100,6.91,CA,1643860305
Wilmington,34.2257,-77.9447,51.73,85,75,6.91,US,1643860011
Saldanha,-33.0117,17.9442,62.65,91,0,8.01,ZA,1643860306
Port Lincoln,-34.7333,135.8667,67.55,56,25,14.81,AU,1643860307
Mount Gambier,-37.8333,140.7667,64.31,52,100,17.27,AU,1643860307
Povenets,62.8487,34.8262,-1.82,99,88,3.2,RU,1643860308
Maţāy,28.419,30.7792,51.84,37,1,9.46,EG,1643860308
Wuzhou,23.4833,111.3167,46.56,83,99,3.4,CN,1643860309
Mbini,1.574,9.6134,76.84,82,99,6.08,GQ,1643860309
Excelsior Springs,39.3392,-94.2261,13.78,51,100,13.8,US,1643860200
Shinpokh,34.3292,71.1782,44.01,39,30,5.14,PK,1643860310
Gazli,40.1333,63.45,39.47,62,0,9.4,UZ,1643860310
Bereda,43.2686,-7.5406,41.54,97,98,1.39,ES,1643860311
Cardston,49.2,-113.3019,-0.15,78,100,2.3,CA,1643860312
Majene,-3.5403,118.9707,83.97,70,100,3.4,ID,1643860312
Los Llanos de Aridane,28.6585,-17.9182,65.12,70,0,3.0,ES,1643860313
Elkhart,41.5823,-85.8344,21.27,88,100,13.8,US,1643860313
Santa Marta,11.2408,-74.199,83.89,65,20,11.99,CO,1643860314
Margate,51.3813,1.3862,46.02,80,100,3.0,GB,1643860150
Morón,-34.6534,-58.6198,75.2,75,100,12.08,AR,1643860315
Kinshasa,-4.3246,15.3215,75.58,88,40,4.61,CD,1643860151
Sal Rei,16.1833,-22.9167,68.56,83,0,17.74,CV,1643860316
Estevan,49.1334,-102.9842,-25.4,75,0,3.94,CA,1643860317
Chupaca,-12.0667,-75.2833,52.72,82,99,1.83,PE,1643860317
Turukhansk,65.8167,87.9833,-12.51,100,52,6.76,RU,1643860318
Mnogovershinnyy,53.9353,139.9242,-0.22,92,100,7.7,RU,1643860318
Bilibino,68.0546,166.4372,-4.09,63,0,5.23,RU,1643860319
Scarborough,54.2797,-0.4044,46.89,86,100,5.99,GB,1643860319
Kuril'sk,45.2333,147.8833,23.14,70,100,18.14,RU,1643860320
Huarmey,-10.0681,-78.1522,71.06,81,97,10.04,PE,1643860320
Marsá Maţrūḩ,31.3525,27.2453,52.92,65,100,19.91,EG,1643860321
Sena Madureira,-9.0656,-68.6569,71.55,99,100,1.66,BR,1643860322
Philadelphia,39.9523,-75.1638,38.52,94,100,0.0,US,1643860238
Nelson Bay,-32.7167,152.15,70.36,83,100,4.0,AU,1643860323
Cayenne,4.9333,-52.3333,79.09,87,75,5.99,GF,1643860324
Mapiripán,2.8892,-72.1256,76.68,58,17,4.09,CO,1643860324
Kisangani,0.5167,25.2,72.95,79,100,1.66,CD,1643860325
Narsaq,60.9167,-46.05,11.82,60,100,15.28,GL,1643860325
Roald,62.5833,6.1333,31.57,80,100,18.41,NO,1643860326
Shingū,33.7333,135.9833,46.9,42,100,10.0,JP,1643860326
Dongsheng,39.8161,109.9776,16.2,27,96,8.93,CN,1643860327
Coruripe,-10.1256,-36.1756,77.65,81,73,7.67,BR,1643860206
Vuktyl,63.8567,57.3094,19.36,95,99,7.2,RU,1643860328
Jasmine Estates,28.2931,-82.6901,66.47,81,94,1.99,US,1643860203
Leh,34.1667,77.5833,12.13,94,100,1.77,IN,1643860213
Lubango,-14.9172,13.4925,56.26,54,13,1.19,AO,1643860329
Faya,18.3851,42.4509,48.72,69,73,2.15,SA,1643860330
Peniche,39.3558,-9.3811,48.83,80,100,4.54,PT,1643860330
Kiryat Gat,31.61,34.7642,49.69,50,0,7.25,IL,1643860331
Sorong,-0.8833,131.25,83.28,69,100,5.28,ID,1643860331
Cabra,37.4725,-4.4421,38.34,47,75,2.77,ES,1643860332
Khandagayty,50.7333,92.05,-8.73,85,96,3.02,RU,1643860332
Ransang,8.9603,117.5828,84.18,67,94,5.95,PH,1643860332
Broken Hill,-31.95,141.4333,71.31,33,0,24.16,AU,1643860333
Alofi,-19.0595,-169.9187,80.49,78,75,12.66,NU,1643860333
Kungurtug,50.5994,97.5228,-1.8,84,64,1.05,RU,1643860334
Aripuanã,-9.1667,-60.6333,72.09,99,100,0.74,BR,1643860334
Oistins,13.0667,-59.5333,77.09,78,40,18.41,BB,1643860335
Okhotsk,59.3833,143.3,13.32,75,100,14.76,RU,1643860237
Måløy,61.9353,5.1136,36.32,73,100,4.0,NO,1643860336
Anchorage,61.2181,-149.9003,17.02,84,0,3.0,US,1643860230
Puerto Escondido,15.85,-97.0667,75.13,77,0,5.35,MX,1643860336
Stavyshche,50.4,29.5333,31.82,96,99,7.29,UA,1643860337
Whitehorse,60.7161,-135.0538,-6.63,67,75,8.99,CA,1643860044
Cairns,-16.9167,145.7667,92.66,65,40,12.66,AU,1643860310
Miranda,3.2499,-76.2281,71.73,88,99,3.94,CO,1643860338
Coquimbo,-29.9533,-71.3436,62.33,88,0,1.14,CL,1643860338
Amberley,39.2048,-84.428,40.91,95,100,1.01,US,1643860339
Shubarshi,48.5872,57.1869,16.38,90,75,10.16,KZ,1643860339
Pustoshka,56.3355,29.369,17.29,97,100,4.09,RU,1643860340
Bataiporã,-22.2953,-53.2711,71.89,98,100,4.85,BR,1643860340
Shellbrook,53.2168,-106.4011,-28.17,100,10,5.93,CA,1643860341
Itacarambi,-15.1022,-44.0919,70.59,95,98,1.74,BR,1643860341
Kokopo,-4.352,152.2633,78.73,83,100,14.07,PG,1643860342
Nipawin,53.3668,-104.0009,-30.96,75,0,3.44,CA,1643860342
Oodweyne,9.4092,45.064,64.27,30,1,9.64,SO,1643860333
Havre-St-Pierre,50.2334,-63.5986,28.72,93,100,10.36,CA,1643860343
Caiapônia,-16.9567,-51.8103,67.93,97,88,2.42,BR,1643860343
Lashio,22.9333,97.75,67.73,34,0,1.28,MM,1643860344
Waingapu,-9.6567,120.2641,88.12,61,79,14.83,ID,1643860344
Dārāb,28.7519,54.5444,49.89,30,0,4.14,IR,1643860345
Pangkalanbuun,-2.6833,111.6167,88.23,62,97,0.51,ID,1643860345
Chebsara,59.2002,38.8356,18.73,98,99,4.16,RU,1643860345
Khasan,42.4308,130.6434,21.2,44,3,20.58,RU,1643860346
Ternate,0.8,127.4,81.64,74,100,2.33,ID,1643860346
Baruun-Urt,46.6806,113.2792,0.07,76,16,5.77,MN,1643860347
Port Hawkesbury,45.6169,-61.3485,32.67,86,100,4.0,CA,1643860347
Izhma,65.0083,53.9113,13.59,98,100,3.87,RU,1643860348
Campoverde,-8.4753,-74.8058,78.49,70,100,1.05,PE,1643860348
Bundaberg,-24.85,152.35,86.22,73,40,5.99,AU,1643860349
Anadyr,64.75,177.4833,12.0,72,0,33.55,RU,1643860349
Abu Kamal,34.4506,40.9171,47.97,53,95,9.66,SY,1643860350
Rio Grande,-32.035,-52.0986,75.31,82,3,16.35,BR,1643860350
Aksha,50.2814,113.2867,3.04,70,11,6.4,RU,1643860351
Ibipeba,-11.6408,-42.0111,66.54,83,0,4.14,BR,1643860351
Rundu,-17.9333,19.7667,65.12,67,55,1.63,NA,1643860352
Matara,5.9485,80.5353,82.42,61,8,4.14,LK,1643860352
Tupik,54.4253,119.9327,-4.86,78,21,4.5,RU,1643860353
Holme,56.1138,10.1725,40.14,92,100,6.76,DK,1643860353
Pucallpa,-8.3791,-74.5539,78.84,78,75,3.44,PE,1643860354
Toora-Khem,52.4675,96.11,-7.22,97,100,1.66,RU,1643860354
Aksu,41.1231,80.2644,29.53,39,100,3.04,CN,1643860355
Xiaoweizhai,26.1903,107.5125,40.24,76,94,4.45,CN,1643860355
Wanning,18.8003,110.3967,67.71,80,94,13.38,CN,1643860356
Malbork,54.0359,19.0266,31.62,93,83,6.58,PL,1643860357
Salalah,17.0151,54.0924,70.63,40,0,13.24,OM,1643860357
Zhigansk,66.7697,123.3711,-15.32,98,97,6.96,RU,1643860357
Shangqiu,34.45,115.65,43.2,33,84,4.16,CN,1643860358
Katsuura,35.1333,140.3,48.22,44,100,3.24,JP,1643860358
Tauá,-5.9667,-40.3,73.26,56,36,5.79,BR,1643860359
Khovd,48.0056,91.6419,-1.14,94,92,2.84,MN,1643860359
São Filipe,14.8961,-24.4956,72.97,77,0,12.97,CV,1643860086
Bloemhof,-27.6469,25.607,68.88,71,13,7.43,ZA,1643860360
Tagusao,9.1924,117.8141,83.44,69,38,6.71,PH,1643860360
Pangnirtung,66.1451,-65.7125,6.22,82,100,8.57,CA,1643860361
Coron,11.9986,120.2043,85.3,65,18,14.52,PH,1643860361
Pingxiang,27.6167,113.85,38.17,95,100,2.73,CN,1643860362
Simbahan,6.3032,120.5836,81.77,68,89,2.57,PH,1643860363
Savelugu,9.6244,-0.8253,70.03,9,28,6.51,GH,1643860363
Artyom,40.4723,50.333,48.34,76,96,23.44,AZ,1643860364
Padang,-0.9492,100.3543,82.45,67,76,3.85,ID,1643860364
Berbera,10.4396,45.0143,74.35,78,1,6.26,SO,1643860364
Ballina,-28.8667,153.5667,71.08,96,100,12.66,AU,1643860365
Cuamba,-14.8031,36.5372,67.73,94,92,0.98,MZ,1643860365
Shumikha,55.2261,63.2961,15.42,94,40,10.76,RU,1643860366
Preobrazheniye,42.9019,133.9064,19.06,42,1,8.95,RU,1643860366
Belaya Gora,68.5333,146.4167,-26.48,99,27,1.25,RU,1643860367
Pitimbu,-7.4706,-34.8086,79.39,78,60,10.25,BR,1643860367
Cross Lanes,38.4204,-81.7907,46.56,93,100,1.01,US,1643860368
Xam Nua,20.4197,104.0439,63.34,72,96,2.57,LA,1643860368
Uarini,-2.99,-65.1083,73.36,99,100,2.55,BR,1643860369
Alice Springs,-23.7,133.8833,74.75,53,100,16.11,AU,1643860369
Makakilo City,21.3469,-158.0858,74.88,67,100,4.61,US,1643860370
Henties Bay,-22.116,14.2845,65.86,85,1,4.94,NA,1643860370
Kodra,50.5949,29.5587,32.18,97,99,6.55,UA,1643860371
Atambua,-9.1061,124.8925,80.64,72,80,9.1,ID,1643860371
Ilo,-17.6394,-71.3375,69.78,82,60,8.05,PE,1643860371
Kumul,42.8,93.45,26.55,31,96,0.89,CN,1643860372
Port Blair,11.6667,92.75,80.64,74,40,9.22,IN,1643860372
Atarra,25.2833,80.5667,70.7,42,0,12.24,IN,1643860373
Port-Cartier,50.0334,-66.8654,28.74,99,100,9.91,CA,1643860373
Kumluca,36.3703,30.2869,54.77,82,100,14.54,TR,1643860373
Masallātah,32.6167,14.0,54.16,81,62,23.26,LY,1643860374
Asheboro,35.7079,-79.8136,46.54,72,100,1.99,US,1643860576
Erenhot,43.6475,111.9767,5.05,75,6,5.23,CN,1643860233
Sitka,57.0531,-135.33,37.29,93,100,5.75,US,1643860195
Cotonou,6.3654,2.4183,78.78,89,48,8.05,BJ,1643860217
Port-de-Bouc,43.4,4.9833,45.54,78,0,5.75,FR,1643860375
Kichera,55.9375,110.0997,-1.26,90,84,1.99,RU,1643860376
Mporokoso,-9.3727,30.125,61.05,98,100,4.12,ZM,1643860376
Araouane,18.9048,-3.5265,58.93,18,59,10.87,ML,1643860377
Tabora,-5.0167,32.8,65.98,100,40,0.0,TZ,1643860377
Touros,-5.1989,-35.4608,79.7,79,57,10.09,BR,1643860378
Juneau,58.3019,-134.4197,26.26,93,100,6.91,US,1643860175
Tsimmerbude,54.675,20.1347,21.25,81,98,6.96,RU,1643860378
Ust-Tsilma,65.441,52.1498,4.1,99,99,2.3,RU,1643860379
Pacifica,37.6138,-122.4869,51.84,62,0,4.0,US,1643860138
Emba,48.8264,58.1442,11.19,91,36,6.2,KZ,1643860379
La Seyne-sur-Mer,43.0982,5.8847,44.01,64,42,4.21,FR,1643860380
Channel-Port aux Basques,47.5702,-59.1367,30.99,83,74,21.05,CA,1643860381
Mirny,62.5353,113.9611,-9.36,95,97,5.77,RU,1643860381
Tucupita,9.0622,-62.051,71.06,97,0,2.91,VE,1643860382
Wenling,28.3669,121.36,43.92,88,100,12.37,CN,1643860383
Ixtapa,20.7,-105.2,70.83,73,0,3.44,MX,1643860191
Marau,-28.4492,-52.2,66.78,64,1,4.34,BR,1643860384
Bogatyye Saby,56.0102,50.4483,25.56,97,100,4.83,RU,1643860385
Bar Harbor,44.3876,-68.2039,38.1,93,100,5.75,US,1643860385
Souillac,-20.5167,57.5167,79.18,94,75,26.46,MU,1643860295
La Rioja,42.25,-2.5,24.58,22,62,5.44,ES,1643860386
Stornoway,58.2093,-6.3865,48.09,92,75,8.01,GB,1643860386
Narutochō-mitsuishi,34.1833,134.6167,46.62,49,75,11.5,JP,1643860387
Kandi,11.1342,2.9386,64.54,12,91,5.23,BJ,1643860387
Beyneu,45.3167,55.2,34.25,84,100,14.92,KZ,1643860388
Néa Péramos,38.0076,23.423,45.55,75,75,16.11,GR,1643860388
Longyan,25.1072,117.0225,51.58,96,100,2.3,CN,1643860389
Creel,27.75,-107.6333,29.86,99,100,6.04,MX,1643860389
Charlestown,-32.95,151.6667,73.71,69,95,8.99,AU,1643860161
Turbat,26.0023,63.044,63.45,15,1,27.36,PK,1643860390
Ust-Maya,60.4167,134.5333,-16.11,85,100,4.52,RU,1643860390
Ōarai,36.3167,140.6,52.5,33,48,4.7,JP,1643860391
Isangel,-19.55,169.2667,89.71,66,75,4.61,VU,1643860391
Bougouni,11.417,-7.479,66.85,17,1,4.79,ML,1643860391
Kutum,14.2,24.6667,60.21,21,15,9.86,SD,1643860333
Kumano,34.3442,132.5894,44.49,39,75,10.76,JP,1643860392
Durban,-29.8579,31.0292,75.34,93,4,5.86,ZA,1643860393
Arkhangelsk,64.5401,40.5433,5.11,84,75,2.24,RU,1643860393
Caucaia,-3.7361,-38.6531,81.03,79,40,5.75,BR,1643860333
Marshfield,44.6689,-90.1718,3.24,55,0,11.5,US,1643860394
Warri,5.5167,5.75,75.07,86,9,2.62,NG,1643860394
Torrington,41.8007,-73.1212,36.01,94,100,3.2,US,1643860395
‘Ewa Beach,21.3156,-158.0072,76.06,68,100,10.0,US,1643860395
Paungde,18.4833,95.5,79.66,30,30,7.92,MM,1643860395
Alihe,50.5667,123.7167,6.26,54,30,7.43,CN,1643860396
Jalu,29.0331,21.5482,49.93,69,19,18.1,LY,1643860396
Miandrivazo,-19.5167,45.4667,80.01,76,74,2.66,MG,1643860397
Batagay,67.6333,134.6333,-26.27,97,99,0.63,RU,1643860397
Hambantota,6.1241,81.1185,80.94,74,20,4.61,LK,1643860398
San Jerónimo,-11.9472,-75.2829,51.46,82,89,2.26,PE,1643860398
Amurzet,47.6967,131.0981,7.25,71,48,12.64,RU,1643860398
São João da Barra,-21.6403,-41.0511,73.15,94,100,8.41,BR,1643860333
Fügen,47.35,11.85,34.34,86,100,3.51,AT,1643860399
Bambanglipuro,-7.95,110.2833,87.28,58,32,6.06,ID,1643860399
Castiglione del Lago,43.1271,12.0453,39.4,82,0,1.05,IT,1643860399
Sahāwar,27.8,78.85,58.71,59,87,16.44,IN,1643860400
Pedernales,18.0384,-71.744,75.67,71,3,3.38,DO,1643860400
Bubaque,11.2833,-15.8333,77.41,79,11,7.65,GW,1643860401
Båtsfjord,70.6345,29.7185,23.22,70,100,7.96,NO,1643860402
Volksrust,-27.3654,29.8818,57.36,71,2,3.85,ZA,1643860403
Bangassou,4.7413,22.8184,76.42,36,99,0.47,CF,1643860403
Haukipudas,65.1765,25.3523,-7.55,96,97,2.48,FI,1643860404
Balkanabat,39.5108,54.3671,50.23,30,4,8.57,TM,1643860405
Seoul,37.5683,126.9778,30.42,37,0,9.22,KR,1643860140
Lompoc,34.6391,-120.4579,51.6,48,0,6.91,US,1643860406
Thyborøn,56.6985,8.2124,42.21,94,100,13.13,DK,1643860406
